Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,SAMPLE_NAME,MSKC_00533,MSKC_00534,MSKC_00535,MSKC_00536,MSKC_00537,MSKC_00538,MSKC_00539,MSKC_00540,MSKC_00541,MSKC_00542,MSKC_00543,MSKC_00544,MSKC_00545,MSKC_00546,MSKC_00547
3961,"(3'-5')-cytidylyladenosine",Nucleotide,"Dinucleotide",52744,LC/MS Neg,100009061,1754,571.1308,2382-66-3,91519,82640,,,0.6384,0.4469,0.7639,0.9902,0.6779,1.8194,1.3776,1.8773,3.4429,1.5246,0.9344,0.4469,1.0098,0.4469,0.4469
489,"(N(1) + N(8))-acetylspermidine",Amino Acid,"Polyamine Metabolism",57814,LC/MS Pos Early,100016038,3080,188.1757,,123689;496,,,,0.7955,0.7375,0.7971,0.7841,0.7863,1.3199,1.3287,1.3893,1.4337,1.2562,1,1.1032,0.9636,1.0234,0.8677
1719,"(R)-3-hydroxybutyrylcarnitine",Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",43264,LC/MS Pos Early,100003926,2400,248.1492,,53481617,,,HMDB13127,0.6942,0.7407,1.5378,1.453,1,0.7041,1.1266,1.6993,1.1857,1.0555,0.6827,0.8242,0.8844,0.6827,0.6827
1720,"(S)-3-hydroxybutyrylcarnitine",Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.1492,,,,,HMDB13127,0.8571,0.8934,1,1.0342,1.0022,1.1932,1.3678,1.3643,1.3477,1.4093,0.7025,0.7731,0.5759,0.7349,0.6709
2123,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,"Phosphatidylcholine (PC)",52603,LC/MS Pos Late,100008903,2006,782.5694,998-06-1,5288075,4450312,,HMDB08138,0.1654,0.208,0.2017,0.218,0.1857,1.2433,1.1715,0.9265,0.8942,1,1.4678,1.3675,1.2825,1.3452,1.2175
2205,"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,"Phosphatidylethanolamine (PE)",53174,LC/MS Pos Late,100009217,2083,740.5225,,9546812,7825762,,HMDB09093,0.3335,0.1731,0.1445,0.1445,0.1445,1.102,1.0933,0.6896,0.871,0.8958,1.1509,1.0067,1.1165,1.2727,1
2109,"1,2-dioleoyl-GPC (18:1/18:1)",Lipid,"Phosphatidylcholine (PC)",52457,LC/MS Pos Late,100008905,2346,786.6007,4235-95-4,10350317,8525772,,,1.0947,1.0699,1.0772,1.0988,0.9815,0.8924,0.8382,0.8244,0.9415,0.8994,1.1118,1.0812,1,1.0712,0.6966
2197,"1,2-dioleoyl-GPE (18:1/18:1)",Lipid,"Phosphatidylethanolamine (PE)",52609,LC/MS Pos Late,100008906,2485,744.5538,01-May-4004,9546757,7825707,,,0.9484,0.958,0.9121,1.0712,0.9304,1,1.0603,0.9834,1.1083,1.0209,1.0088,1.1155,0.8905,1.0967,0.8585
2265,"1,2-dioleoyl-GPS (18:1/18:1)",Lipid,"Phosphatidylserine (PS)",19191,LC/MS Pos Late,1533,2800,788.5436,6811-55-8,6438639,4943103,,,0.9799,1.2154,1.1337,1.1725,0.8467,1.0493,0.9753,0.6617,1.3962,0.9554,1.394,1.1754,0.9198,1,0.5798
2046,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,"Phosphatidylcholine (PC)",19130,LC/MS Pos Late,100000657,2365,734.5694,63-89-8,452110,398235,,HMDB00564,0.627,0.6683,0.7118,0.646,0.6031,1.0052,0.9946,1.0463,1.1249,1.0136,1.1359,1.1502,0.9732,1.1664,1
2166,"1,2-dipalmitoyl-GPE (16:0/16:0)*",Lipid,"Phosphatidylethanolamine (PE)",57341,LC/MS Pos Late,100009204,2498,692.5225,,445468,393103,,HMDB08923,0.4645,0.4817,0.522,0.5121,0.4939,0.8743,1,1.0224,1.1969,0.9819,1.2423,1.4509,1.0213,1.2705,1.0775
2268,"1,2-dipalmitoyl-GPG (16:0/16:0)",Lipid,"Phosphatidylglycerol (PG)",52625,LC/MS Pos Late,100000652,3157,740.5436,200880-41-7,11846227,10020701,,HMDB10570,1.164,1.0384,1.1364,1.2255,1.3701,0.4534,0.7634,0.4431,0.3977,0.3977,0.9616,1.1758,0.7266,0.9607,1.2501
2086,"1,2-distearoyl-GPC (18:0/18:0)",Lipid,"Phosphatidylcholine (PC)",19132,LC/MS Pos Late,100000660,2950,790.632,816-94-4,94190,85004,,HMDB08036,1.2368,0.9346,1.0252,0.8165,1.1628,0.6596,0.7037,0.6811,0.7282,0.5498,1.6017,1.688,1.1455,1,1.4652
2570,"1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*",Lipid,"Lysoplasmalogen",54691,LC/MS Pos Late,100010839,2534,728.5589,,,24769325,,HMDB11441,1.0278,1.1538,1.3525,1.1001,1.2135,0.9999,1,1.0654,1.2428,0.9712,0.6499,0.6443,0.6283,0.8206,0.6236
2567,"1-(1-enyl-oleoyl)-GPE (P-18:1)*",Lipid,"Lysoplasmalogen",44621,LC/MS Pos Late,100005372,1566,464.3136,,,,,,0.7682,0.7901,0.6715,0.8673,0.7947,1.1089,1,0.9628,1.1917,0.9237,1.5796,1.4197,1.1975,1.693,1.2445
2544,"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",Lipid,"Plasmalogen",52689,LC/MS Pos Late,100009014,2154,766.5745,,,24767495,,HMDB11220,1.0238,0.9806,1.0639,1,0.8453,1.6037,1.5059,1.5767,1.6183,1.4576,0.8402,0.7337,0.7581,0.836,0.6318
2536,"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*",Lipid,"Plasmalogen",52673,LC/MS Pos Late,100009002,2270,724.5276,,,24769238,,HMDB11352,0.8624,0.9412,0.9746,0.9577,0.8848,1.1791,1.0257,1.1349,1.363,1.1836,1.0761,1,0.8759,1.0108,0.8235
2545,"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*",Lipid,"Plasmalogen",52682,LC/MS Pos Late,100009009,2226,742.5745,,,24767486,,HMDB11211,0.8631,1.0053,1.1984,1,1.0642,0.9951,0.8877,0.891,1.0745,0.9767,1.1247,1.0456,0.9468,1.0948,0.8309
2533,"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*",Lipid,"Plasmalogen",52677,LC/MS Pos Late,100009069,2351,700.5276,,,24769229,,HMDB11343,0.7236,0.6733,0.845,0.7701,0.8711,1.0061,1,0.986,1.0411,0.9524,1.28,1.0053,1.1384,1.2853,1.1517
2538,"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",Lipid,"Plasmalogen",52478,LC/MS Pos Late,100009007,2443,744.5902,,,,,,1.6345,1.7406,1.8777,1.825,1.8601,1,1.0321,0.9514,1.0688,0.9845,0.8696,0.7815,0.6756,0.7719,0.6898
2532,"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*",Lipid,"Plasmalogen",52477,LC/MS Pos Late,100009005,2600,702.5432,,,24769228,,HMDB11342,0.9144,0.9485,1,1.0354,1.0044,1.0989,1.0962,1.0525,1.2399,1.1325,0.8217,0.7563,0.7165,0.7358,0.6706
2535,"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*",Lipid,"Plasmalogen",52713,LC/MS Pos Late,100009160,2218,716.5589,,,24767482,,HMDB11207,1.2214,1.1719,1.2448,1.2414,1.1665,1,1.0057,0.8994,1.0873,0.9412,0.6512,0.6721,0.6576,0.6794,0.5643
2534,"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*",Lipid,"Plasmalogen",52716,LC/MS Pos Late,100009162,2454,718.5745,,11146967,9322076,,HMDB11206,0.989,0.9186,1.1261,0.989,0.9193,1.0998,1.1803,1,1.1345,1.0721,1.0366,1.0281,0.82,0.9221,0.896
2565,"1-(1-enyl-palmitoyl)-GPE (P-16:0)*",Lipid,"Lysoplasmalogen",39270,LC/MS Pos Late,100003000,1558,438.2979,,,10471193,,,0.8492,0.9788,1.0405,1.0769,0.9994,0.8958,0.9568,0.9304,1,0.8767,1.3318,1.2898,1.0732,1.3612,1.1575
2549,"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",Lipid,"Plasmalogen",52475,LC/MS Pos Late,100008999,2511,752.5589,,9547058,7826008,,HMDB05779,1.0091,1,1.0612,0.9959,0.9155,1.3622,1.3734,1.3525,1.6064,1.3381,0.7078,0.7973,0.6942,0.7866,0.6421
2541,"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",Lipid,"Plasmalogen",52748,LC/MS Pos Late,100009225,2633,728.5589,,,24769261,,HMDB11376,1.0096,1,0.9743,1.1221,0.9168,1.1626,1.1356,1.059,1.2048,1.1831,0.903,0.8698,0.8015,0.79,0.7941
2540,"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)",Lipid,"Plasmalogen",52614,LC/MS Pos Late,100008919,2950,730.5745,144371-68-6,,24769260,,HMDB11375,1.3449,1.4713,1.5339,1.5234,1.5892,1.0012,0.9508,1,1.2332,0.9827,0.5158,0.4592,0.387,0.4701,0.3845
2569,"1-(1-enyl-stearoyl)-GPE (P-18:0)*",Lipid,"Lysoplasmalogen",39271,LC/MS Pos Late,100003001,1649,466.3292,,,,,,1,0.9987,1.0787,1.0591,1.0671,0.837,1.0965,1.0615,1.2,0.8682,1.0031,0.9951,0.8366,0.9734,0.889
2378,"1-arachidonoyl-GPC (20:4n6)*",Lipid,"Lysophospholipid",34061,LC/MS Neg,100001551,6074,618.3412,,,21403155,C05208,HMDB10395,1.2609,0.6013,0.425,0.617,1,2.1151,1.9557,2.5086,2.5316,1.8008,0.8479,1.2361,0.5466,0.5088,0.9245
2423,"1-arachidonoyl-GPE (20:4n6)*",Lipid,"Lysophospholipid",35186,LC/MS Neg,100001571,5874,500.2783,,42607465,21403171,,HMDB11517,1.334,0.6585,0.6162,0.6015,0.8845,1.4453,1.0869,2.3298,1.0313,1.0042,0.7802,1.1785,0.5282,0.5717,1
2463,"1-arachidonoyl-GPI (20:4)*",Lipid,"Lysophospholipid",34214,LC/MS Neg,100001654,5482,619.2889,,,,,HMDB61690,1.1691,0.8306,1,1.1185,0.9738,0.8458,0.5535,0.7676,1.0225,0.5919,1.0503,1.3542,0.8024,1.4119,1.055
2593,"1-arachidonylglycerol (20:4)",Lipid,"Monoacylglycerol",34397,LC/MS Neg,100001433,6250,303.2329,35474-99-8,5282281,4445452,C13857,HMDB11549,0.7405,0.5542,0.4696,0.4696,0.4696,1.0763,1.0729,0.4696,0.8335,0.7043,1.7987,2.733,0.9271,1.2343,2.1695
346,"1-carboxyethylisoleucine",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628,202.1085,,,,,,1.0436,0.8769,1.0249,0.9719,0.9946,1.1035,1.4797,1.2275,1.5909,1.456,1,0.8028,0.8385,0.9605,0.7749
300,"1-carboxyethylleucine",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.1085,,,,,,0.7884,0.7774,1,0.9508,0.9012,1.1188,1.1253,1.3325,1.4473,1.4438,1.0183,0.9195,0.7788,1.0267,0.8104
138,"1-carboxyethylphenylalanine",Amino Acid,"Phenylalanine Metabolism",62566,LC/MS Neg,100020419,2844,236.0928,,,19276386,,,0.9251,0.8317,1.1019,1,0.959,1.1094,1.3791,1.3486,1.5016,1.4638,1.0285,0.9649,0.8357,0.9758,0.8088
156,"1-carboxyethyltyrosine",Amino Acid,"Tyrosine Metabolism",62564,LC/MS Neg,100020421,1846,252.0877,,,,,,0.9523,0.794,1,0.956,0.9509,1.1138,1.2795,1.4486,1.4772,1.2723,1.1096,1.0639,0.7917,0.8637,0.7971
369,"1-carboxyethylvaline",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62562,LC/MS Neg,100020423,2008,188.0928,,,,,,0.8897,0.8848,1.031,1,0.9312,1.0316,1.2517,1.3105,1.2817,1.3236,0.9111,0.8878,0.7565,1.0022,0.7445
2592,"1-dihomo-linolenylglycerol (20:3)",Lipid,"Monoacylglycerol",48341,LC/MS Neg,100006121,6400,305.2486,,,,,,1.2671,0.8484,0.2718,0.3596,1.094,1.2172,0.7609,1.72,1,0.9106,1.4654,3.0612,0.8637,0.9093,1.8171
2614,"1-dihomo-linoleoylglycerol (20:2)",Lipid,"Monoacylglycerol",35103,LC/MS Neg,100001483,6800,307.2642,,,21403143,,,2.3259,0.8365,0.7966,1,1.8924,0.588,0.6908,0.588,1.3418,0.588,1.6599,2.0362,0.9987,0.7483,1.5791
2596,"1-docosahexaenoylglycerol (22:6)",Lipid,"Monoacylglycerol",35153,LC/MS Neg,100001481,6150,309.2224,,,10477810,,HMDB11587,1.2271,0.4977,0.4007,0.2759,0.762,1.0754,1.0709,1.5733,1,0.8813,1.2217,1.7197,0.6567,0.6579,1.1501
2607,"1-heptadecenoylglycerol (17:1)*",Lipid,"Monoacylglycerol",62449,LC/MS Neg,100020769,6390,267.2329,,,58191491,,,0.5449,0.2793,0.2793,0.2793,0.2793,0.9486,1.0514,1.5681,1.3806,0.6159,1.2992,1.281,0.5742,0.7685,1.301
2390,"1-lignoceroyl-GPC (24:0)",Lipid,"Lysophospholipid",49617,LC/MS Pos Late,100002873,1907,608.465,325171-59-3,,24766539,,HMDB10405,2.2008,2.2922,2.5978,2.241,2.2259,0.9429,1.0722,1,1.1964,0.8575,0.573,0.6252,0.3882,0.5267,0.6192
2128,"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*",Lipid,"Phosphatidylcholine (PC)",52710,LC/MS Pos Late,100009131,1969,806.5694,,,24766809,,HMDB08147,0.5448,0.5424,0.5426,0.45,0.4233,1.2047,1.1874,1.0499,1.147,1.0493,1.085,1.0826,1,0.9547,0.8962
2207,"1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*",Lipid,"Phosphatidylethanolamine (PE)",53189,LC/MS Pos Late,100009222,2030,764.5225,,,24768565,,HMDB09102,0.776,0.7866,0.8427,0.7702,0.7102,1.3333,1.2417,1.2842,1.3896,1.35,1.0633,1.0663,0.7738,1,0.8688
2360,"1-linoleoyl-GPC (18:2)",Lipid,"Lysophospholipid",34419,LC/MS Neg,100001395,6160,594.3412,,11988421,10160888,C04100,HMDB10386,0.7819,0.3893,0.3314,0.3354,0.5905,1.1075,1.254,1.5586,1.521,1.2102,1,1.416,0.6695,0.83,1.0107
2411,"1-linoleoyl-GPE (18:2)*",Lipid,"Lysophospholipid",32635,LC/MS Neg,100001570,5900,476.2783,,52925130,21403170,,HMDB11507,0.834,0.3793,0.3256,0.3922,0.5811,1.1486,1,2.2682,1.0638,1.0882,1.1183,1.9346,0.7243,0.9574,1.5479
2450,"1-linoleoyl-GPG (18:2)*",Lipid,"Lysophospholipid",54885,LC/MS Neg,100009227,5516,507.2728,,,,,,1.2783,0.5312,0.3451,0.4928,0.6082,1.0478,0.89,1,0.8217,1.1053,1.9564,1.9687,0.9719,1.3654,1.9099
2458,"1-linoleoyl-GPI (18:2)*",Lipid,"Lysophospholipid",36594,LC/MS Neg,100001778,5494,595.2889,,,,,,1.4471,1,0.5788,1.0687,1.2835,0.7196,0.6091,0.7558,0.5875,0.5274,1.9147,2.9324,0.9234,2.3863,1.9381
2441,"1-linoleoyl-GPS (18:2)*",Lipid,"Lysophospholipid",43676,LC/MS Neg,100004606,5500,520.2681,,,,,,1.4004,0.875,0.6091,0.8076,0.597,1.0396,0.946,1.3936,1,1.1133,1.1834,1.0673,0.8489,1.0369,0.8543
2587,"1-linoleoylglycerol (18:2)",Lipid,"Monoacylglycerol",27447,LC/MS Neg,100001040,6477,279.2329,2277-28-3,5283469,4446589,,,0.6135,0.2086,0.1609,0.1609,0.1843,0.9261,1.0025,1.2732,0.8983,0.9975,1.826,2.4622,1.0628,1.3936,1.8212
2584,"1-margaroylglycerol (17:0)",Lipid,"Monoacylglycerol",34391,LC/MS Neg,100001429,6571,269.2486,68002-72-2,107036,96316,,,1.2486,0.4095,0.4095,0.5896,0.5977,0.5387,1.3866,0.9538,1.0462,0.6882,1.3384,2.0442,1.1096,0.6593,1.4801
86,"1-methyl-4-imidazoleacetate",Amino Acid,"Histidine Metabolism",32350,LC/MS Pos Early,100001208,2064,141.0659,2625-49-2,75810,68319,C05828,HMDB02820,0.9938,1.0134,1.1161,1,1.0457,0.8988,0.8285,0.8877,1.0135,0.8734,1.1881,1.1963,0.9082,1.1376,0.8824
87,"1-methyl-5-imidazoleacetate",Amino Acid,"Histidine Metabolism",62946,LC/MS Pos Early,100002910,1989,141.0659,4200-48-0,6451814,4954265,,HMDB04988,1,0.9554,1.059,1.0683,1.0387,0.8343,0.8281,0.8703,0.9653,0.8413,1.4872,1.6131,1.1541,1.4752,0.9904
68,"1-methylhistidine",Amino Acid,"Histidine Metabolism",30460,LC/MS Pos Early,100001051,2755,170.0924,332-80-9,92105,83153,C01152,HMDB00001,1,0.9877,0.9015,1.1602,1.2531,1.0831,1.2043,1.6824,1.1279,1.3863,0.8655,0.7903,0.7093,0.8848,0.521
3988,"1-methylnicotinamide",Cofactors and Vitamins,"Nicotinate and Nicotinamide Metabolism",27665,LC/MS Pos Early,55,1940,137.0709,1005-24-9,457,8305504,C02918,HMDB00699,0.5861,0.582,0.5893,0.5828,0.5968,0.9648,0.9541,1.0599,1.1537,1,1.2585,1.2689,1.0633,1.3494,1.0929
2034,"1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*",Lipid,"Phosphatidylcholine (PC)",53195,LC/MS Pos Late,100009139,1914,754.5381,,,24766559,,HMDB07883,0.5343,0.5409,0.529,0.5498,0.5103,1.0096,1,0.9768,1.0028,0.9777,1.5271,1.5536,1.2489,1.2479,1.2343
2030,"1-myristoyl-2-palmitoyl-GPC (14:0/16:0)",Lipid,"Phosphatidylcholine (PC)",19258,LC/MS Pos Late,100000672,2147,706.5381,69525-80-0,129657,114798,,HMDB07869,0.7596,0.7729,0.8475,0.7484,0.6525,1,1.0179,1.0457,1.1044,1.0295,1.1365,1.047,0.9223,1.0603,0.9324
2579,"1-myristoylglycerol (14:0)",Lipid,"Monoacylglycerol",35625,LC/MS Neg,100001618,6353.3,227.2016,75685-84-6,79050,71382,C01885,HMDB11561,0.9175,0.7141,0.4183,0.4183,0.5491,1.0732,1.147,1.1565,1.1111,0.9897,0.9529,1.2265,0.5025,1.0103,1.0841
2201,"1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*",Lipid,"Phosphatidylethanolamine (PE)",55041,LC/MS Pos Late,100009219,2200,766.5381,,,24768534,,HMDB09069,0.7503,0.6996,0.7542,0.6819,0.6328,1.3351,1.3117,1.2659,1.4858,1.2784,1.0113,1.0436,0.8854,1,0.8149
2310,"1-oleoyl-2-arachidonoyl-GPI (18:1/20:4)*",Lipid,"Phosphatidylinositol (PI)",54994,LC/MS Pos Late,100010951,2568,902.5753,,,,,HMDB09844,0.7778,0.8768,0.9156,0.8864,0.7362,1.0964,1.0409,1,1.1194,0.9037,1.3799,1.0033,1.0473,1.2519,0.9365
2122,"1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*",Lipid,"Phosphatidylcholine (PC)",52697,LC/MS Pos Late,100009130,2011,832.5851,,,24766785,,HMDB08123,1.1265,1.1029,1.2291,1.0519,1.0545,1.0552,1,0.8595,0.9499,0.9772,1.1218,0.959,0.9144,0.9392,0.8936
2204,"1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*",Lipid,"Phosphatidylethanolamine (PE)",53209,LC/MS Pos Late,100009220,2119,790.5381,,,24768542,,,0.8765,0.8667,0.9752,0.9127,0.7335,1.0318,0.9915,1.0103,1.0442,0.9624,1.2306,1.1504,1.1266,1.2982,1
2112,"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*",Lipid,"Phosphatidylcholine (PC)",52453,LC/MS Pos Late,100008981,2165,784.5851,,,,,,0.4153,0.4698,0.5096,0.4617,0.3787,1,0.9288,1.0161,1.0176,1.0106,1.2522,1.2191,1.1929,1.223,0.9786
2198,"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*",Lipid,"Phosphatidylethanolamine (PE)",52687,LC/MS Pos Late,100009078,2270,742.5381,,9546753,7825703,,HMDB05349,0.4474,0.502,0.4992,0.5101,0.4458,0.9634,0.8902,1,1.1872,1.0219,1.3976,1.2918,1.1138,1.3075,1.0893
2357,"1-oleoyl-GPC (18:1)",Lipid,"Lysophospholipid",48258,LC/MS Pos Late,100001272,1540,522.3554,19420-56-5,16081932,17240641,,HMDB02815,1.0038,1.0201,1.1107,1.0438,1.1203,0.9403,0.9288,0.9731,1.0699,0.9506,0.9433,1,0.8508,1.0548,0.8579
2409,"1-oleoyl-GPE (18:1)",Lipid,"Lysophospholipid",35628,LC/MS Pos Late,100001569,1554,480.3085,89576-29-4,9547071,7826021,,HMDB11506,0.8566,0.8292,0.8855,0.9125,0.571,1,1.0288,0.9962,1.0559,0.9801,1.3079,1.3726,1.1154,1.3323,1.1128
2448,"1-oleoyl-GPG (18:1)*",Lipid,"Lysophospholipid",45968,LC/MS Neg,100005716,5610,509.2885,,,34999689,,,1.7887,1.1011,0.9346,0.8978,1.2729,0.8134,1,1.2481,0.8167,0.918,1.2019,1.9214,0.8081,0.9901,1.5629
2456,"1-oleoyl-GPI (18:1)",Lipid,"Lysophospholipid",36602,LC/MS Neg,100001777,5599,597.3045,,,,,,2.3419,1.6681,1.4203,1.4651,2.1358,0.3939,0.3143,0.6019,0.4835,0.4506,1,1.2148,0.4796,0.8497,1.0899
2439,"1-oleoyl-GPS (18:1)",Lipid,"Lysophospholipid",19260,LC/MS Neg,100000630,5607,522.2837,326589-90-6,9547099,7826049,,HMDB61694,2.4023,1.8085,1.5411,1.429,1.9073,1,0.8103,1.3145,0.9068,0.9888,0.843,1.2749,0.5434,0.7866,0.9944
2586,"1-oleoylglycerol (18:1)",Lipid,"Monoacylglycerol",21184,LC/MS Neg,100000924,6650,281.2486,111-03-5,5283468,4446588,,HMDB11567,1.5635,0.466,0.3933,0.4233,1.1299,0.5256,1.081,0.7022,1,0.7507,1.8682,2.3903,1.126,0.6412,1.5943
2076,"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*",Lipid,"Phosphatidylcholine (PC)",52683,LC/MS Pos Late,100009075,2003,756.5538,,,24766675,,HMDB08006,0.6834,0.6834,0.6834,0.6834,0.6834,0.8442,0.8441,0.6834,0.7911,0.8136,1.3658,1.3188,1.2964,1.3003,1.1558
2179,"1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*",Lipid,"Phosphatidylethanolamine (PE)",52469,LC/MS Pos Late,100008995,2250,716.5225,,,24768446,,,0.5977,0.6494,0.7999,0.7698,0.6983,0.9448,0.9636,1.0218,1.2909,1,1.1331,1.2747,1.4552,1.2656,1.1782
2348,"1-palmitoleoyl-GPC (16:1)*",Lipid,"Lysophospholipid",33230,LC/MS Pos Late,100001511,1450,494.3241,,24779461,21403152,,HMDB10383,0.9425,0.6626,0.9807,1.0352,1.3781,1.2733,0.7452,0.7549,0.8815,1.2388,1.4203,1.0193,1.0823,0.6626,0.932
2583,"1-palmitoleoylglycerol (16:1)*",Lipid,"Monoacylglycerol",52431,LC/MS Neg,100008952,6094,253.2173,,,,,HMDB11565,1.133,0.4567,0.3513,0.2985,0.5522,0.8562,1,1.6031,1.0968,1.024,1.3601,2.5363,0.8747,0.9985,1.3666
2064,"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)",Lipid,"Phosphatidylcholine (PC)",52462,LC/MS Pos Late,100008914,2091,782.5694,35418-58-7,10747814,8923140,,HMDB07982,0.8326,0.7997,0.7792,0.8316,0.737,1.5086,1.4433,1.3552,1.5921,1.507,1.1141,1.057,0.9487,1,0.8632
2175,"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*",Lipid,"Phosphatidylethanolamine (PE)",52464,LC/MS Pos Late,100008990,2198,740.5225,,9546800,7825750,,HMDB05323,0.6215,0.6199,0.6665,0.6509,0.5496,1.1602,1.1411,1.142,1.2934,1.1554,1,1.0509,0.9154,1.0022,0.8272
2060,"1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*",Lipid,"Phosphatidylcholine (PC)",52454,LC/MS Pos Late,100008985,2199,784.5851,,,,,,1.1006,0.9613,0.9298,1.1453,1.0161,1.0862,1.1002,1,1.273,1.1142,0.9885,0.8165,0.7814,0.826,0.8884
2070,"1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)",Lipid,"Phosphatidylcholine (PC)",52610,LC/MS Pos Late,100008915,2023,806.5694,59403-54-2,6441886,4946007,,HMDB07991,1,1.0434,1.0747,1.0016,0.921,1.1484,1.0928,0.9247,1.0365,1.0389,0.9118,0.7898,0.7393,0.7683,0.726
