Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
QKI		3	3	685	0.4%	Yes
NFKBIA		4	4	856	0.5%	Yes
SYK		8	8	856	0.9%	Yes
EXT2		14	14	856	1.6%	Yes
EXT1		7	7	856	0.8%	Yes
EWSR1		15	15	856	1.8%	Yes
DEPDC5		22	21	685	3.1%	No
PRPF40B		11	11	856	1.3%	No
SMO		16	16	856	1.9%	Yes
CRKL		2	2	856	0.2%	Yes
PNRC1		5	5	856	0.6%	Yes
STAG1		18	18	856	2.1%	Yes
TENT5C		5	5	856	0.6%	Yes
RACK1		5	5	685	0.7%	No
EGFR		21	20	856	2.3%	Yes
AURKB		9	9	856	1.1%	Yes
KDM5C		10	10	685	1.5%	Yes
SMC1A		6	6	856	0.7%	Yes
NBN		15	15	856	1.8%	Yes
TP53		408	396	856	46.3%	Yes
RAF1		5	5	856	0.6%	Yes
FGFR4		19	17	856	2.0%	Yes
FGFR2		11	10	856	1.2%	Yes
BRD4		17	17	856	2.0%	Yes
FGFR3		15	15	856	1.8%	Yes
CEBPA		2	2	856	0.2%	Yes
FGFR1		9	9	856	1.1%	Yes
RUNX1		22	21	856	2.5%	Yes
CDK1		2	2	856	0.2%	No
RAD21		8	6	856	0.7%	Yes
CBL		16	16	856	1.9%	Yes
CBLB		8	8	856	0.9%	Yes
MSH2		20	19	856	2.2%	Yes
SBDS		6	6	856	0.7%	Yes
PTPN11		4	4	856	0.5%	Yes
EP300		29	26	856	3.0%	Yes
FH		9	9	856	1.1%	Yes
NPRL3		6	6	685	0.9%	No
IGF1R		24	24	856	2.8%	Yes
MEF2B		4	4	856	0.5%	Yes
SH2B3		26	25	856	2.9%	Yes
PHOX2B		5	5	856	0.6%	Yes
EZH2		4	4	856	0.5%	Yes
BRIP1		23	22	856	2.6%	Yes
CDH1		118	115	856	13.4%	Yes
GSTM5		4	4	856	0.5%	No
PRDM1		13	13	856	1.5%	Yes
CADM2		8	8	685	1.2%	No
SS18		1	1	856	0.1%	Yes
PRF1		14	14	856	1.6%	Yes
MEN1		20	20	856	2.3%	Yes
IKZF3		13	12	856	1.4%	Yes
EPHA7		11	11	856	1.3%	Yes
COP1		9	9	856	1.1%	Yes
EPHA5		27	27	856	3.2%	Yes
EPHA3		17	17	856	2.0%	Yes
FBXW7		15	15	856	1.8%	Yes
SETBP1		23	21	856	2.5%	Yes
BCOR		18	17	856	2.0%	Yes
BLM		20	20	856	2.3%	Yes
SF3B1		26	23	856	2.7%	Yes
MAP3K1		84	61	856	7.1%	Yes
GPC3		7	7	856	0.8%	Yes
PTPRD		34	34	685	5.0%	Yes
MSH6		25	23	856	2.7%	Yes
ROS1		53	52	856	6.1%	Yes
MPL		12	12	856	1.4%	Yes
MUTYH		13	13	856	1.5%	Yes
NFKBIZ		12	12	856	1.4%	No
MET		16	16	856	1.9%	Yes
SMC3		8	8	856	0.9%	Yes
STAT3		5	5	856	0.6%	Yes
FANCD2		22	22	856	2.6%	Yes
SUSD4		1	1	856	0.1%	No
FANCC		15	15	856	1.8%	Yes
HRAS		5	5	856	0.6%	Yes
FANCA		40	36	856	4.2%	Yes
H3F3A		1	1	856	0.1%	Yes
DMD		38	35	856	4.1%	No
FKBP9		5	5	856	0.6%	No
KIT		21	21	856	2.5%	Yes
CCND2		4	4	856	0.5%	Yes
CCND3		2	2	856	0.2%	Yes
CCNE1		3	3	856	0.4%	Yes
BMPR1A		5	5	856	0.6%	Yes
PRPF8		10	10	856	1.2%	No
PDCD1LG2		6	6	856	0.7%	Yes
CHEK2		25	24	856	2.8%	Yes
SLITRK6		15	15	685	2.2%	No
ARID1A		66	63	856	7.4%	Yes
PRKAR1A		5	5	856	0.6%	Yes
SOX9		10	9	856	1.1%	Yes
FANCF		12	12	856	1.4%	Yes
PBRM1		15	15	685	2.2%	Yes
ERBB4		15	14	856	1.6%	Yes
ERBB3		30	30	856	3.5%	Yes
ERBB2		38	36	856	4.2%	Yes
CRLF2		6	6	856	0.7%	Yes
ARID1B		59	55	856	6.4%	Yes
GLI1		24	22	856	2.6%	Yes
NTRK1		26	26	856	3.0%	Yes
NTRK2		13	13	856	1.5%	Yes
CUX1		29	28	856	3.3%	Yes
NTRK3		18	18	856	2.1%	Yes
DDB2		5	5	856	0.6%	Yes
SDCCAG8		1	1	856	0.1%	No
ATRX		45	41	856	4.8%	Yes
FANCE		8	8	856	0.9%	Yes
AKT3		9	8	856	0.9%	Yes
MAP2K4		32	31	856	3.6%	Yes
SOX2		6	6	856	0.7%	Yes
STAT6		8	8	856	0.9%	Yes
XPA		4	4	856	0.5%	Yes
ASXL1		28	26	856	3.0%	Yes
GLI3		29	28	856	3.3%	No
GLI2		31	27	856	3.2%	No
XPC		16	16	856	1.9%	Yes
PHF6		2	2	856	0.2%	Yes
DICER1		12	12	856	1.4%	Yes
AURKA		5	5	856	0.6%	Yes
PRKCI		12	12	856	1.4%	Yes
STK11		18	18	856	2.1%	Yes
ZNF217		20	19	856	2.2%	Yes
ERG		2	2	856	0.2%	Yes
NKX2-1		5	5	856	0.6%	Yes
TET2		24	22	856	2.6%	Yes
ERCC5		23	23	856	2.7%	Yes
ERCC4		24	22	856	2.6%	Yes
ERCC3		14	14	856	1.6%	Yes
GATA3		88	85	856	9.9%	Yes
BRCA1		58	56	856	6.5%	Yes
BRAF		11	11	856	1.3%	Yes
JAK2		22	21	856	2.5%	Yes
TCF7L1		9	9	856	1.1%	No
JAK3		20	19	856	2.2%	Yes
BRCA2		77	74	856	8.6%	Yes
TOE1		1	1	856	0.1%	No
ERCC2		27	26	856	3.0%	Yes
FANCG		10	10	856	1.2%	Yes
ID3		3	3	856	0.4%	Yes
AXL		19	19	856	2.2%	Yes
LMO1		2	2	856	0.2%	Yes
XPO1		13	13	856	1.5%	Yes
LMO2		1	1	856	0.1%	Yes
EED		5	5	685	0.7%	Yes
SRSF2		2	2	856	0.2%	Yes
DDR2		16	16	856	1.9%	Yes
GATA6		7	7	856	0.8%	Yes
GATA4		7	7	856	0.8%	Yes
KEAP1		10	9	685	1.3%	Yes
PRKDC		76	72	856	8.4%	Yes
TLR4		25	23	685	3.4%	No
CIITA		28	28	856	3.3%	Yes
MAPK1		5	5	856	0.6%	Yes
BCORL1		27	25	856	2.9%	Yes
PRAME		11	11	856	1.3%	No
PRKCZ		11	11	856	1.3%	No
DNMT3A		28	26	856	3.0%	Yes
APC		35	34	856	4.0%	Yes
B2M		3	3	856	0.4%	Yes
CYLD		4	4	856	0.5%	Yes
ARID2		33	33	856	3.9%	Yes
AKT1		36	36	856	4.2%	Yes
PPARG		1	1	856	0.1%	Yes
KDM6A		25	25	856	2.9%	Yes
AKT2		5	5	856	0.6%	Yes
PALB2		32	29	856	3.4%	Yes
KRAS		6	6	856	0.7%	Yes
SETD2		32	30	856	3.5%	Yes
ESR1		50	48	856	5.6%	Yes
DIS3		18	18	856	2.1%	Yes
CSF1R		10	10	685	1.5%	Yes
GNA11		5	4	856	0.5%	Yes
FUS		12	12	685	1.8%	Yes
SF1		10	10	856	1.2%	No
RARA		5	5	856	0.6%	Yes
MITF		13	13	856	1.5%	Yes
PMS1		16	16	856	1.9%	Yes
SUZ12		9	9	856	1.1%	Yes
KMT2D		76	70	856	8.2%	Yes
CRTC2		15	15	856	1.8%	No
GNAS		23	23	856	2.7%	Yes
GNAQ		1	1	856	0.1%	Yes
CSF3R		12	11	685	1.6%	Yes
U2AF1		4	4	856	0.5%	Yes
VHL		3	3	856	0.4%	Yes
SQSTM1		8	8	685	1.2%	No
IKZF1		9	9	856	1.1%	Yes
RB1		42	40	856	4.7%	Yes
